# Name : VHPS_140_140_3.5_T3
# Stage: 1
# Units: length:mm angle:deg 
id,x,y,z
411,-80.2657,54.7125,-19.6519
412,-74.7623,54.7968,-19.4735
413,-69.2604,54.9064,-19.2470
414,-63.7403,55.0327,-19.0861
415,-58.2286,55.1335,-18.8418
416,-52.6997,55.2595,-18.6543
417,-47.2048,55.3376,-18.2530
418,-41.6210,55.4751,-18.2833
419,-36.0594,55.5745,-18.1577
420,-30.5285,55.6720,-17.8411
421,-24.9619,55.7936,-17.6690
422,-19.4080,55.8575,-17.4024
423,-13.8226,55.9843,-17.2519
424,-8.2290,56.1037,-17.1038
425,-2.6494,56.1985,-16.8579
426,2.9420,56.3125,-16.6326
427,8.5476,56.4358,-16.4383
428,14.1655,56.5507,-16.2649
429,19.7708,56.6454,-16.0055
430,25.4098,56.7642,-15.8572
431,31.0619,56.8844,-15.7299
432,36.6820,56.9804,-15.4384
433,42.3201,57.1266,-15.1893
434,47.9888,57.2074,-15.0339
435,53.6658,57.3249,-14.8779
436,59.3281,57.4344,-14.6335
437,65.0201,57.5483,-14.4722
438,70.7109,57.6707,-14.2749
439,76.4070,57.7720,-14.0675
440,82.1052,57.8858,-13.8374
441,87.8294,58.0145,-13.6714
442,93.5467,58.1108,-13.4511
443,99.2828,58.2346,-13.2668
444,105.0145,58.3530,-13.0376
445,110.7557,58.4682,-12.8124
446,116.5097,58.5847,-12.6020
447,122.2747,58.6997,-12.3992
448,128.0559,58.8086,-12.2213
449,133.8038,58.9835,-11.9041
450,139.6049,59.0315,-11.7355
451,145.4056,59.1597,-11.5338
452,151.2496,59.2688,-11.4399
453,157.1572,59.3730,-11.5117
454,162.9494,59.5177,-11.1960
455,168.7255,59.6242,-10.8077
456,174.5422,59.7502,-10.5165
457,180.3929,59.8763,-10.2999
458,186.2681,59.9863,-10.1281
459,192.1260,60.1114,-9.8779
460,198.0156,60.2348,-9.6916
461,203.9101,60.3550,-9.4920
462,209.8028,60.4617,-9.2610
463,215.7015,60.5804,-9.0196
464,221.6226,60.7131,-8.8131
465,227.5549,60.8388,-8.6104
466,233.4798,60.9614,-8.3619
467,239.4368,61.0773,-8.1725
468,245.3907,61.2045,-7.9482
469,251.3521,61.3266,-7.7178
470,257.3364,61.4485,-7.5205
471,263.3408,61.5706,-7.3482
472,269.3216,61.6869,-7.0904
473,275.3236,61.8245,-6.8597
474,281.3488,61.9461,-6.6618
475,287.3756,62.0727,-6.4420
476,293.3972,62.1808,-6.1850
477,299.4462,62.3237,-5.9683
478,305.4916,62.4242,-5.7194
479,311.5579,62.5573,-5.4944
480,317.6590,62.6991,-5.3251
481,323.7592,62.8192,-5.1289
482,329.8374,62.9406,-4.8579
483,335.9492,63.0681,-4.6391
484,342.0597,63.2022,-4.3929
485,348.1860,63.3278,-4.1583
486,354.3375,63.4612,-3.9551
487,360.4655,63.5960,-3.6767
488,366.6337,63.7111,-3.4626
489,372.7963,63.8515,-3.2119
490,378.9992,63.9812,-3.0240
491,385.1625,64.0521,-2.7304
492,391.4561,64.2741,-2.6816
493,397.6297,64.3594,-2.3629
494,403.7972,64.5163,-2.0088
495,410.0387,64.6420,-1.7842
496,416.3648,64.6372,-1.7099
497,-366.1360,44.4821,-26.1374
498,-361.0148,44.8528,-30.6870
499,-355.7923,44.9261,-30.4756
500,-350.5625,45.0076,-29.9865
501,-345.3341,45.1224,-30.0762
502,-340.0973,45.2109,-29.6384
503,-334.8574,45.3503,-29.5738
504,-329.6123,45.4442,-29.4899
505,-324.3628,45.5400,-29.2550
506,-319.1091,45.6232,-29.0120
507,-313.8473,45.7336,-29.0298
508,-308.5852,45.8103,-28.7156
509,-303.3213,45.8628,-28.3022
510,-298.0469,45.9892,-28.1781
511,-292.7702,46.1095,-27.9465
512,-287.4862,46.1913,-27.8089
513,-282.1935,46.3023,-27.7687
514,-276.9018,46.3899,-27.5485
515,-271.6102,46.4732,-27.2110
516,-266.3025,46.5991,-27.1432
517,-261.0014,46.6665,-26.8223
518,-255.6968,46.7412,-26.4876
519,-250.3842,46.8529,-26.2220
520,-245.0491,46.9860,-26.2617
521,-239.7175,47.0651,-26.1405
522,-234.3874,47.1472,-25.9101
523,-229.0549,47.2462,-25.6423
524,-223.7098,47.3394,-25.4839
525,-218.3645,47.4619,-25.2526
526,-213.0130,47.5550,-25.0395
527,-207.6581,47.6436,-24.8052
528,-202.2961,47.7547,-24.5932
529,-196.9231,47.9112,-24.4415
530,-191.5509,47.9477,-24.2266
531,-186.1688,48.0221,-24.0571
532,-180.7859,48.1289,-23.8369
533,-175.4017,48.2711,-23.5758
534,-170.0009,48.3097,-23.4264
535,-164.5974,48.4352,-23.2433
536,-159.1853,48.5467,-23.0851
537,-153.7723,48.6676,-22.8827
538,-148.3493,48.7572,-22.7177
539,-142.9348,48.8861,-22.4342
540,-137.5114,48.9286,-22.1827
541,-132.0570,49.0469,-22.1198
542,-126.6208,49.1543,-21.8734
543,-121.1792,49.2308,-21.6255
544,-115.7226,49.3492,-21.4411
545,-110.2254,49.4883,-21.4887
546,-104.8430,49.5246,-20.7261
547,-99.3779,49.6376,-20.4827
548,-93.8380,49.7358,-20.6758
549,-88.3498,49.8266,-20.4922
550,-82.8599,49.9238,-20.2789
551,-77.3733,50.0493,-20.0074
552,-71.8523,50.1673,-19.9011
553,-66.3477,50.2548,-19.6617
554,-60.8393,50.3489,-19.4077
555,-55.3020,50.4665,-19.2763
556,-49.7752,50.5819,-19.0495
557,-44.2450,50.6757,-18.8073
558,-38.6940,50.7668,-18.6386
559,-33.1332,50.8862,-18.4816
560,-27.5801,50.9841,-18.2515
561,-22.0047,51.1016,-18.0959
562,-16.4425,51.1873,-17.8426
563,-10.8608,51.3018,-17.6481
564,-5.2607,51.4014,-17.5055
565,0.3295,51.5070,-17.2822
566,5.9215,51.6324,-17.0349
567,11.5521,51.7471,-16.9260
568,17.1429,51.8512,-16.6102
569,22.7809,51.9595,-16.4664
